;V1
07605-2020-CR.txt;3
07606-2020-CR.txt;7
07607-2020-CR.txt;9
07608-2020-CR.txt;9
07609-2020-CR.txt;6
07610-2020-CR.txt;3
07611-2020-CR.txt;4
07612-2020-CR.txt;6
07613-2020-CR.txt;3
07614-2020-CR.txt;3
07615-2020-CR.txt;1
07616-2020-CR.txt;10
07617-2020-CR.txt;7
07618-2020-CR.txt;5
07619-2020-CR.txt;1
07620-2020-CR.txt;5
07621-2020-CR.txt;3
07622-2020-CR.txt;1
07623-2020-CR.txt;9
07624-2020-CR.txt;3
07625-2020-CR.txt;7
07626-2020-CR.txt;9
07627-2020-CR.txt;5
07628-2020-CR.txt;3
07629-2020-CR.txt;7
07630-2020-CR.txt;9
07631-2020-CR.txt;3
07632-2020-CR.txt;10
07633-2020-CR.txt;4
07634-2020-CR.txt;9
07635-2020-CR.txt;9
07636-2020-CR.txt;10
07637-2020-CR.txt;8
07638-2020-CR.txt;8
07639-2020-CR.txt;2
07640-2020-PE.txt;2
07641-2020-PE.txt;2
07642-2020-CR.txt;1
07643-2020-CR.txt;1
07644-2020-CR.txt;3
07645-2020-CR.txt;4
07646-2020-CR.txt;8
07647-2020-CR.txt;4
07648-2020-CR.txt;9
07649-2020-CR.txt;10
07650-2020-CR.txt;4
07651-2020-CR.txt;6
07652-2020-CR.txt;4
07653-2020-CR.txt;9
07654-2020-CR.txt;1
07655-2020-CR.txt;2
07656-2020-CR.txt;6
07657-2020-CR.txt;2
07658-2020-CR.txt;9
07659-2020-CR.txt;9
07660-2020-CR.txt;6
07661-2020-CR.txt;8
07662-2020-CR.txt;3
07663-2020-CR.txt;8
07664-2020-PE.txt;7
07665-2020-CR.txt;9
07666-2020-CR.txt;2
07667-2020-CR.txt;3
07668-2020-CR.txt;4
07669-2020-CR.txt;8
07670-2020-CR.txt;4
07671-2020-CR.txt;1
07672-2020-CR.txt;1
07673-2020-CR.txt;10
07674-2020-CR.txt;9
07675-2020-CR.txt;4
07676-2020-CR.txt;4
07677-2020-CR.txt;4
07678-2020-CR.txt;9
07679-2020-CR.txt;4
07680-2020-CGR.txt;8
07681-2020-CR.txt;1
07682-2020-CR.txt;2
07683-2020-CR.txt;4
07684-2020-CR.txt;10
07685-2020-CR.txt;10
07686-2020-CR.txt;4
07687-2020-CR.txt;4
07688-2020-CR.txt;4
07689-2020-CR.txt;7
07690-2020-CR.txt;1
07691-2020-CR.txt;9
07692-2020-CR.txt;10
07693-2020-CR.txt;3
07694-2020-JNE.txt;9
07695-2020-PE.txt;4
07696-2020-CR.txt;4
07697-2020-CR.txt;1
07698-2020-PE.txt;2
07699-2020-CR.txt;6
07700-2020-CR.txt;1
07701-2020-CR.txt;2
07702-2020-CR.txt;1
07703-2020-CR.txt;2
07704-2020-CR.txt;4
07705-2020-CR.txt;1
07706-2020-CR.txt;4
07707-2020-CR.txt;4
07708-2020-CR.txt;6
07709-2020-CR.txt;3
07710-2020-CR.txt;7
07711-2020-CR.txt;6
07712-2020-CR.txt;1
07713-2020-CR.txt;3
07714-2020-CR.txt;10
07715-2020-CR.txt;9
07716-2020-CR.txt;1
07717-2020-CR.txt;9
07718-2020-CR.txt;7
07719-2020-CR.txt;3
07720-2020-CR.txt;4
07721-2020-CR.txt;1
07722-2020-CR.txt;1
07723-2020-CR.txt;4
07724-2020-CR.txt;1
07725-2020-CR.txt;8
07726-2020-CR.txt;9
07727-2020-CR.txt;5
07728-2020-CR.txt;4
07729-2020-CR.txt;1
07730-2020-CR.txt;7
07731-2020-CR.txt;4
07732-2020-CR.txt;1
07733-2020-CR.txt;3
07734-2020-CR.txt;7
07735-2020-CR.txt;8
07736-2020-CR.txt;5
07737-2020-CR.txt;3
07738-2020-CR.txt;4
07739-2020-CR.txt;10
07740-2020-CR.txt;4
07741-2020-CR.txt;10
07742-2020-CR.txt;7
07743-2020-CR.txt;2
07744-2020-CR.txt;9
07745-2020-CR.txt;1
07746-2020-CR.txt;9
07747-2020-PE.txt;9
07748-2020-CR.txt;2
07749-2020-CR.txt;10
07750-2020-CR.txt;2
07751-2020-CR.txt;4
07752-2020-CR.txt;9
07753-2020-CR.txt;6
07754-2020-CR.txt;2
07755-2020-CR.txt;1
07756-2020-CR.txt;4
07757-2020-CR.txt;1
07758-2020-CR.txt;3
07759-2020-CR.txt;1
07760-2020-CR.txt;4
07761-2020-CR.txt;1
07762-2020-CR.txt;4
07763-2020-CR.txt;7
07764-2020-CR.txt;4
07765-2020-CR.txt;8
07766-2020-CR.txt;7
07767-2020-CR.txt;8
07768-2020-CR.txt;4
07769-2020-CR.txt;5
07770-2020-CR.txt;2
07771-2020-CR.txt;4
07772-2020-CR.txt;4
07773-2020-CR.txt;8
07774-2020-CR.txt;3
07775-2020-CR.txt;1
07776-2020-CR.txt;7
07777-2020-CR.txt;4
07778-2020-CR.txt;4
07779-2020-CR.txt;8
07780-2020-CR.txt;9
07781-2020-CR.txt;9
07782-2020-CR.txt;3
07783-2020-CR.txt;3
07784-2020-CR.txt;6
07785-2020-CR.txt;4
07786-2020-CR.txt;4
07787-2020-PE.txt;9
07788-2020-CR.txt;1
07789-2020-CR.txt;6
07790-2020-CR.txt;4
07791-2020-CR.txt;8
07792-2020-CR.txt;5
07793-2020-CR.txt;5
07794-2020-CR.txt;1
07795-2020-CR.txt;5
07796-2020-CR.txt;9
07797-2020-CR.txt;10
07798-2020-CR.txt;2
07799-2020-CR.txt;1
07800-2020-CR.txt;7
07801-2020-CR.txt;9
07802-2020-CR.txt;9
07803-2020-CR.txt;5
07804-2020-CR.txt;8
07805-2020-CR.txt;9
07806-2020-CR.txt;10
07807-2020-CR.txt;4
07808-2020-CR.txt;6
07809-2020-CR.txt;9
07810-2020-CR.txt;3
07811-2020-CR.txt;2
07812-2020-CR.txt;8
07813-2020-CR.txt;1
07814-2020-CR.txt;6
07815-2020-CR.txt;4
07816-2020-CR.txt;1
07817-2020-CR.txt;5
07818-2020-CR.txt;10
07819-2020-CR.txt;2
07820-2020-CR.txt;8
07821-2020-CR.txt;1
07822-2020-CR.txt;9
07823-2020-JNJ.txt;3
07824-2020-CR.txt;10
07825-2020-CR.txt;8
07826-2020-CR.txt;10
07827-2020-CR.txt;10
07828-2020-CR.txt;3
07829-2020-CR.txt;6
07830-2020-CR.txt;10
07831-2020-GR.txt;7
07832-2020-CR.txt;1
07833-2020-CR.txt;2
07834-2020-CR.txt;4
07835-2020-CR.txt;9
07836-2020-CR.txt;4
07837-2020-PE.txt;8
07838-2020-CR.txt;5
07839-2020-CR.txt;2
07840-2020-CR.txt;4
07841-2020-CR.txt;1
07842-2020-CR.txt;7
07843-2020-CR.txt;4
07844-2020-CR.txt;9
07845-2020-CR.txt;6
07846-2020-CR.txt;9
07847-2020-CR.txt;4
07848-2020-CR.txt;3
07849-2020-CR.txt;7
07850-2020-CR.txt;7
07851-2020-CR.txt;4
07852-2020-CR.txt;5
07853-2020-CR.txt;2
07854-2020-CR.txt;8
07855-2020-CR.txt;1
07856-2020-CR.txt;10
07857-2020-CR.txt;3
07858-2020-CR.txt;7
07859-2020-CR.txt;3
07860-2020-CR.txt;6
07861-2020-CR.txt;10
07862-2020-CR.txt;8
07863-2020-CR.txt;3
07864-2020-CR.txt;2
07865-2020-CR.txt;8
07866-2020-CR.txt;4
07867-2020-CR.txt;2
07868-2020-CR.txt;2
07869-2020-CR.txt;10
07870-2020-PE.txt;6
07871-2020-CR.txt;4
07872-2020-CR.txt;2
07873-2020-CR.txt;1
07874-2020-CR.txt;4
07875-2020-CR.txt;4
07876-2020-CR.txt;8
07877-2020-CR.txt;4
07878-2020-CR.txt;1
07879-2020-CR.txt;5
07880-2020-CR.txt;9
07881-2020-CR.txt;3
07882-2020-CR.txt;9
07883-2020-CR.txt;9
07884-2020-CR.txt;1
07885-2020-CR.txt;1
07886-2020-CR.txt;6
07887-2020-CR.txt;3
07888-2020-CR.txt;3
07889-2020-CR.txt;6
07890-2020-PE.txt;9
07891-2020-CR.txt;4
07892-2020-PE.txt;7
07893-2020-CR.txt;5
07894-2020-CR.txt;7
07895-2020-CR.txt;4
07896-2020-CP.txt;2
07897-2020-CR.txt;7
07898-2020-CR.txt;10
07899-2020-CR.txt;4
07900-2020-CR.txt;6
07901-2020-CR.txt;7
07902-2020-CR.txt;6
07903-2020-CR.txt;7
07904-2020-CR.txt;2
07905-2020-CR.txt;9
07906-2020-CR.txt;8
07907-2020-CR.txt;6
07908-2020-JNE.txt;9
07909-2020-CR.txt;5
07910-2020-CR.txt;8
07911-2020-CR.txt;4
07912-2020-CR.txt;2
07913-2020-CR.txt;2
07914-2020-PE.txt;2
07915-2020-CR.txt;3
07916-2020-CR.txt;4
07917-2020-CR.txt;8
07918-2020-CR.txt;4
07919-2020-CR.txt;2
07920-2020-CR.txt;7
07921-2020-CR.txt;4
07922-2020-CR.txt;1
07923-2020-CR.txt;5
07924-2020-CR.txt;4
07925-2020-CR.txt;4
07926-2020-PE.txt;7
07927-2020-CR.txt;5
07928-2020-CR.txt;9
07929-2020-CR.txt;1
07930-2020-CR.txt;6
07931-2020-CR.txt;10
07932-2020-CR.txt;1
07933-2020-MP.txt;8
07934-2020-CR.txt;1
07935-2020-CR.txt;5
07936-2020-CR.txt;8
07937-2020-CR.txt;8
07938-2020-CR.txt;7
07939-2020-PE.txt;7
07940-2020-CR.txt;10
07941-2020-CR.txt;2
07942-2020-CR.txt;4
07943-2020-CR.txt;9
07944-2020-CR.txt;6
07945-2020-CR.txt;4
07946-2020-CR.txt;2
07947-2020-CR.txt;4
07948-2020-CR.txt;7
07949-2020-CR.txt;10
07950-2020-CR.txt;10
07951-2020-CR.txt;3
07952-2020-PE.txt;6
07953-2020-CR.txt;2
07954-2020-CR.txt;9
07955-2020-CR.txt;9
07956-2020-CR.txt;7
07957-2020-CR.txt;1
07958-2020-CR.txt;6
07959-2020-CR.txt;5
07960-2020-CR.txt;8
07961-2020-CR.txt;1
07962-2020-CR.txt;4
07963-2020-CR.txt;3
07964-2020-CR.txt;5
07965-2020-CR.txt;10
07966-2020-CR.txt;7
07967-2020-CR.txt;2
07968-2020-CR.txt;4
07969-2020-CR.txt;9
07970-2020-CR.txt;1
07971-2020-CR.txt;10
07972-2020-CR.txt;4
07973-2020-CR.txt;3
07974-2020-CR.txt;4
07975-2020-CR.txt;4
07976-2020-CR.txt;4
07977-2020-CR.txt;6
07978-2020-CR.txt;9
07979-2020-CR.txt;5
07980-2020-CR.txt;5
07981-2020-CR.txt;2
07982-2020-CR.txt;4
07983-2020-CR.txt;8
07984-2020-CR.txt;5
07985-2020-CR.txt;1
07986-2020-CR.txt;1
07987-2020-CR.txt;1
07988-2020-CR.txt;9
07989-2020-CR.txt;1
07990-2020-CR.txt;9
07991-2020-CR.txt;9
07992-2020-CR.txt;8
07993-2020-CR.txt;9
07994-2020-CR.txt;4
07995-2020-CR.txt;3
07996-2020-CR.txt;10
07997-2020-CR.txt;7
07998-2020-CR.txt;9
07999-2020-CR.txt;5
08000-2020-CR.txt;8
08001-2020-CR.txt;1
08002-2020-CR.txt;5
08003-2020-CR.txt;8
08004-2020-CR.txt;9
08005-2020-CR.txt;1
08006-2020-CR.txt;6
08007-2020-CR.txt;4
08008-2020-CR.txt;2
08009-2020-CR.txt;3
08010-2020-CR.txt;4
08011-2020-CR.txt;4
08012-2020-CR.txt;5
08013-2020-CR.txt;10
08014-2020-CR.txt;10
08015-2020-CR.txt;3
08016-2020-PE.txt;2
08017-2020-PE.txt;3
08018-2020-PE.txt;3
08019-2020-PE.txt;3
08020-2020-CR.txt;1
08021-2020-CR.txt;3
08022-2020-CR.txt;9
08023-2020-CR.txt;2
08024-2020-CR.txt;9
08025-2020-CR.txt;4
08026-2020-CR.txt;4
08027-2020-CR.txt;9
08028-2020-CR.txt;4
08029-2020-CR.txt;8
08030-2020-CR.txt;9
08031-2020-CR.txt;9
08032-2020-CR.txt;2
08033-2020-CR.txt;4
08034-2020-CR.txt;4
08035-2020-CR.txt;1
08036-2020-CR.txt;1
08037-2020-CR.txt;7
08038-2020-CR.txt;9
08039-2020-CR.txt;1
08040-2020-CR.txt;4
08041-2020-CR.txt;1
08042-2020-CR.txt;8
08043-2020-CR.txt;4
08044-2020-CR.txt;4
08045-2020-CR.txt;5
08046-2020-CR.txt;6
08047-2020-CR.txt;4
08048-2020-CR.txt;2
08049-2020-CR.txt;9
08050-2020-CR.txt;7
08051-2020-CR.txt;2
08052-2020-CR.txt;5
08053-2020-CR.txt;2
08054-2020-CR.txt;2
08055-2020-CR.txt;4
08056-2020-CR.txt;9
08057-2020-CGR.txt;8
08058-2020-CR.txt;3
08059-2020-CR.txt;10
08060-2020-CR.txt;10
08061-2020-CR.txt;1
08062-2020-CR.txt;10
08063-2020-CR.txt;6
08064-2020-CR.txt;8
08066-2020-CR.txt;4
08067-2020-CR.txt;9
08068-2020-CR.txt;8
08069-2020-CR.txt;4
08070-2020-CR.txt;4
08071-2020-CR.txt;6
08072-2020-CR.txt;2
08073-2020-CR.txt;9
08074-2020-CR.txt;1
08075-2020-CR.txt;1
08076-2020-CR.txt;9
08077-2020-CR.txt;3
08078-2020-CR.txt;9
08079-2020-CR.txt;3
08080-2020-CR.txt;3
08081-2020-CR.txt;2
08082-2020-CR.txt;8
08083-2020-CR.txt;4
08084-2020-CR.txt;8
08085-2020-CR.txt;5
08086-2020-CR.txt;1
08087-2020-CR.txt;2
08088-2020-CR.txt;4
08089-2020-CR.txt;4
08090-2020-CR.txt;4
08091-2020-CR.txt;1
08092-2020-CR.txt;4
08093-2020-CR.txt;9
08094-2020-CR.txt;5
08095-2020-CR.txt;4
08096-2020-CR.txt;5
08097-2020-CR.txt;3
08098-2020-CR.txt;4
08099-2020-CR.txt;2
08100-2020-CR.txt;4
08101-2020-CR.txt;5
08102-2020-CR.txt;1
08103-2020-CR.txt;1
08104-2020-CR.txt;7
